category,price,color,brand,brand_group,base_color,has_out_of_stock,nb_sizes_total,nb_sizes_available,nb_sizes_out_of_stock,fully_out_of_stock,price_segment
outerwear,,pink,Miss Selfridge,Miss Selfridge,pink,True,7,2,5,False,>£100
outerwear,,pink,Miss Selfridge,Miss Selfridge,pink,True,7,2,5,False,>£100
outerwear,,pink,Miss Selfridge,Miss Selfridge,pink,True,7,2,5,False,>£100
outerwear,,pink,Miss Selfridge,Miss Selfridge,pink,True,7,2,5,False,>£100
outerwear,48.0,beige,Vero Moda,Vero Moda,beige,False,5,5,0,False,£20-50
outerwear,48.0,beige,Vero Moda,Vero Moda,beige,False,5,5,0,False,£20-50
outerwear,48.0,beige,Vero Moda,Vero Moda,beige,False,5,5,0,False,£20-50
outerwear,48.0,beige,Vero Moda,Vero Moda,beige,False,5,5,0,False,£20-50
outerwear,45.0,blue,In The Style,In The Style,blue,False,5,5,0,False,£20-50
outerwear,45.0,blue,In The Style,In The Style,blue,False,5,5,0,False,£20-50
outerwear,45.0,blue,In The Style,In The Style,blue,False,5,5,0,False,£20-50
outerwear,45.0,blue,In The Style,In The Style,blue,False,5,5,0,False,£20-50
outerwear,42.0,brown,Noisy May,Noisy May,brown,False,6,6,0,False,£20-50
outerwear,42.0,brown,Noisy May,Noisy May,brown,False,6,6,0,False,£20-50
outerwear,42.0,brown,Noisy May,Noisy May,brown,False,6,6,0,False,£20-50
outerwear,,blue - bright,River Island,River Island,blue,False,7,7,0,False,>£100
outerwear,,blue - bright,River Island,River Island,blue,False,7,7,0,False,>£100
outerwear,,blue - bright,River Island,River Island,blue,False,7,7,0,False,>£100
outerwear,,blue - bright,River Island,River Island,blue,False,7,7,0,False,>£100
outerwear,,black,Topshop Sno,Topshop,black,True,8,7,1,False,>£100
outerwear,,black,Topshop Sno,Topshop,black,True,8,7,1,False,>£100
outerwear,,black,Topshop Sno,Topshop,black,True,8,7,1,False,>£100
outerwear,,pink,Columbia,Columbia,pink,False,5,5,0,False,>£100
outerwear,,pink,Columbia,Columbia,pink,False,5,5,0,False,>£100
outerwear,,pink,Columbia,Columbia,pink,False,5,5,0,False,>£100
outerwear,,pink,Columbia,Columbia,pink,False,5,5,0,False,>£100
